id,text,category,language,source,link,annotator,notes,original_category,recategorization_reason
it_0012,"Prezzo minimo ultimi 30 giorni: 4,80 €",Not Dark Pattern,it,ibs.it,https://www.ibs.it/scritti-libro-leonardo-da-vinci/e/9788818026351,annotator1,Fine-print lowest-price disclosure contradicts the prominently shown 50% discount claim,Misdirection,Art.17-bis 30-day statutory disclosure (IBS)
it_0013,Consegna veloce gratis fino al 17 maggio. Scopri di più,Urgency,it,ibs.it,https://www.ibs.it/scritti-libro-leonardo-da-vinci/e/9788818026351,annotator1,Time-limited free delivery offer creating purchase deadline pressure,,
it_0014,L'esclusiva Book Bag IBS in regalo con 39€ di acquisti,Misdirection,it,ibs.it,https://www.ibs.it/scritti-libro-leonardo-da-vinci/e/9788818026351,annotator1,Conditional gift requiring minimum spend — nudges users to add unnecessary items,,
it_0015,Disponibilità immediata,Not Dark Pattern,it,ibs.it,https://www.ibs.it/scritti-libro-leonardo-da-vinci/e/9788818026351,annotator1,Neutral stock availability statement — no manipulation,,
it_0016,Solo per oggi,Urgency,it,ibs.it,https://www.ibs.it/offerte-ebook/solo-per-oggi-ebook-prezzo-speciale,annotator1,eBook section with today-only label creating artificial time pressure,,
it_0017,Salvato in 56 liste dei desideri,Social Proof,it,ibs.it,https://www.ibs.it/scritti-libro-leonardo-da-vinci/e/9788818026351,annotator1,Popularity signal via wishlist count to create social conformity pressure,,
it_0018,acquista su IBS a 18.00€!,Not Dark Pattern,it,ibs.it,https://www.ibs.it/contro-imperi-futuro-delle-nostre-libro-vittorio-emanuele-parsi/e/9788830108196,annotator1,Standard book price disclosure — no manipulative element,,
it_0019,acquista su IBS a 11.00€!,Not Dark Pattern,it,ibs.it,https://www.ibs.it/donna-libro-sibilla-aleramo/e/9788807880728,annotator1,Standard book price disclosure — no manipulative element,,
it_0020,Libri rari e introvabili,Not Dark Pattern,it,ibs.it,https://www.ibs.it/buio-oltre-siepe-libri-vintage-harper-lee/e/5000089568165,annotator1,Navigation category label for genuinely rare/out-of-print books — not a per-product scarcity claim,,
it_0021,"Prezzo minimo nei 30gg precedenti € 339,99",Not Dark Pattern,it,eprice.it,https://www.eprice.it/ELECTROLUX-Forno-Elettrico-da-Incasso-SenseCook-Serie-700-CO/d-67587219,annotator1,30-day minimum price shown as strikethrough to anchor perception of discount,Misdirection,Art.17-bis 30-day statutory disclosure (ePrice)
it_0022,ad un prezzo imbattibile,Misdirection,it,eprice.it,https://www.eprice.it/ELECTROLUX-Forno-Elettrico-da-Incasso-SenseCook-Serie-700-CO/d-67587219,annotator1,Superlative price claim with no comparative evidence — unverifiable boast,,
it_0023,Disponibile,Not Dark Pattern,it,eprice.it,https://www.eprice.it/ELECTROLUX-Forno-Elettrico-da-Incasso-SenseCook-Serie-700-CO/d-67587219,annotator1,Neutral stock availability statement — no manipulation,,
it_0024,"Prezzo minimo nei 30gg precedenti € 749,98",Not Dark Pattern,it,eprice.it,https://www.eprice.it/ELECTROLUX-Lavastoviglie-EEA27500L-Serie-300-AirDry-a-Scompar/d-69765219,annotator1,Inflated 30-day minimum price shown as reference to exaggerate current discount (€419 vs €749),Misdirection,Art.17-bis 30-day statutory disclosure (ePrice)
it_0025,"Immagine puramente indicativa: le maniglie e il pannello non sono compresi, in quanto facenti parte dell'arredamento della propria cucina",Sneaking,it,eprice.it,https://www.eprice.it/ELECTROLUX-Lavastoviglie-EEA27500L-Serie-300-AirDry-a-Scompar/d-69765219,annotator1,"Key product components (handles, panel) excluded from purchase — disclosed only in fine print under image",,
it_0026,Questa follia del giorno è scaduta il 16/05/2026,Urgency,it,eprice.it,https://www.eprice.it/ELECTROLUX-Piano-Cottura-Y60IT430C-a-Induzione-4-Zone-Cottura/d-68838853,annotator1,Expired flash deal banner still shown — creates residual urgency and FOMO,,
it_0027,Non lasciarti scappare la Follia del Giorno di oggi!,Urgency,it,eprice.it,https://www.eprice.it/ELECTROLUX-Piano-Cottura-Y60IT430C-a-Induzione-4-Zone-Cottura/d-68838853,annotator1,Daily deal mechanic with imperative language creating fear of missing out,,
it_0028,"Prezzo minimo nei 30gg precedenti € 399,99",Not Dark Pattern,it,eprice.it,https://www.eprice.it/ELECTROLUX-Piano-Cottura-Y60IT430C-a-Induzione-4-Zone-Cottura/d-68838853,annotator1,Strikethrough reference price anchors perception of large saving (€229 vs €399),Misdirection,Art.17-bis 30-day statutory disclosure (ePrice)
it_0029,"Prezzo minimo nei 30gg precedenti € 799,98",Not Dark Pattern,it,eprice.it,https://www.eprice.it/ELECTROLUX-Lavastoviglie-EEA27600L-a-Scomparsa-Totale-13-Cope/d-69765218,annotator1,Very high reference price used to make €499 appear as exceptional deal,Misdirection,Art.17-bis 30-day statutory disclosure (ePrice)
it_0031,Ne hai uno da vendere?,Not Dark Pattern,it,eprice.it,https://www.eprice.it/ELECTROLUX-Lavastoviglie-EEA27600L-a-Scomparsa-Totale-13-Cope/d-69765218,annotator1,Standard marketplace cross-sell prompt asking if the user has a similar item to list — neutral CTA,,
it_0032,"Prezzo consigliato € 64,90",Misdirection,it,manomano.it,https://www.manomano.it/p/werkapro-rete-di-protezione-per-piscina-100-g-ma-8-x-14-m-colore-nero-14396763?model_id=14396512,annotator1,Strikethrough reference price anchors value to make the current retail offer appear as an exaggerated markdown.,,
it_0033,Solo 2 articoli rimasti,Scarcity,it,manomano.it,https://www.manomano.it/p/dmora-tavolo-da-esterno-dantonaz-tavolo-rettangolare-allungabile-da-pranzo-con-4-sedie-incluse-tavolo-e-sedute-da-giardino-effetto-rattan-100-made-in-italy-82093040?model_id=93460796,annotator1,Stock scarcity counter creating stock-exhaustion panic to accelerate buyer conversion.,,
it_0034,Condizionatore Candy 12000 BTU CY-12TA,Not Dark Pattern,it,manomano.it,https://www.manomano.it/p/condizcandy-12000-btu-cy-12ta-59917407,annotator1,Standard product title and technical specification disclosure — no manipulative elements present.,,
it_0035,🔥 Scelto da 124 utenti questa settimana,Social Proof,it,manomano.it,https://www.manomano.it/p/set-da-giardino-in-resina-intrecciata-salotto-4-posti-colore-nero-poltrona-modello-moltes-3834224?model_id=44717332,annotator1,Popularity metric designed to prompt compliance through peer trends and validation.,,
it_0036,Pesto alla genovese COOP 140 G,Not Dark Pattern,it,coopshop.it,https://www.coopshop.it/product/pesto-alla-genovese-140-gr-coop,annotator1,Neutral factual product name and category placement — no manipulative element,,
it_0037,Fagioli borlotti lamon lessati MONTELLO 250 G,Not Dark Pattern,it,coopshop.it,https://www.coopshop.it/product/fagioli-borlotti-lamon-lessati-250-gr-montello,annotator1,Standard grocery product listing with clear weight description — no manipulative element,,
it_0038,Coop Casa Additivo Disinfettante 1.5 L,Not Dark Pattern,it,coopshop.it,https://www.coopshop.it/product/coop-casa-additivo-disinf15l,annotator1,Neutral functional household product description and size disclosure — no manipulative element,,
it_0039,GARANZIA. SODDISFATTI O RIMBORSATI.,Not Dark Pattern,it,spesaonline.esselunga.it,https://spesaonline.esselunga.it/commerce/nav/supermercato/store/prodotto/761251/kiwi-sungold-confezionati-500-g,annotator1,Transparent consumer trust signal offering a clear quality guarantee without coercive conditions,,
it_0040,Il prodotto arriverà da una delle provenienze sopra indicate a seconda della disponibilità effettiva al momento della consegna dell'ordine.,Not Dark Pattern,it,spesaonline.esselunga.it,https://spesaonline.esselunga.it/commerce/nav/supermercato/store/prodotto/761460/mirtilli-confezionati-125-g,annotator1,Clear informational disclosure explaining standard agricultural supply chain variance rather than manufacturing false scarcity,,
it_0041,Solo 1 rimasto! Altri 3 utenti hanno questo articolo nel carrello.,Scarcity,it,zalando.it,https://www.zalando.it/p/abbigliamento-uomo](https://www.zalando.it/p/abbigliamento-uomo,annotator1,Low-stock warning combined with real-time cart counts to trigger fear of missing out.,,
it_0042,⏳ L'offerta SottoCosto termina tra 02:14:15. Acquista prima che scada!,Urgency,it,unieuro.it,https://www.unieuro.it/online/offerte-sottocosto,annotator1,Dynamic countdown timer forcing an artificial purchase deadline on promotional items.,,
it_0043,Prenotato 18 volte nelle ultime 24 ore a Roma.,Social Proof,it,booking.com,https://www.booking.com/searchresults.it.html,annotator1,Highlighting high booking frequency to manipulate the user into conforming with crowd behavior.,,
it_0044,Più di 400 utenti hanno acquistato questo prodotto nell'ultimo mese.,Social Proof,it,amazon.it,https://www.amazon.it/dp/B07XY88XYZ,annotator1,Historical sales metrics displayed prominently near the buy box to validate product popularity.,,
it_0045,"Per visualizzare i prezzi scontati del catalogo, devi inserire il tuo numero di telefono e iscriverti alla newsletter.",Forced Action,it,privesport.it,https://www.privesport.it/registrazione,annotator1,Forcing the user to surrender highly personal contact data just to access standard promotional pricing.,,
it_0046,"Per richiedere la cancellazione del tuo abbonamento mensile, invia una Raccomandata A/R o una PEC (Posta Elettronica Certificata) con 30 giorni di preavviso.",Obstruction,it,dazn.com,https://www.dazn.com/it-IT/help/articles/cancellazione-abbonamento,annotator1,Making contract cancellation intentionally difficult (requiring physical mail or PEC) while sign-up takes only one click.,,
it_0047,Non riesci a completare la disdetta online? Chiama il nostro numero verde (attivo solo lun-ven dalle 9:00 alle 12:00).,Obstruction,it,sky.it,https://www.sky.it/assistenza/disdetta,annotator1,Restricting subscription cancellation to a limited phone support window to frustrate and retain users.,,
it_0048,"Spesa di gestione protezione acquisti obbligatoria (+ € 0,70 + 5% del prezzo d'acquisto) applicata al carrello.",Sneaking,it,vinted.it,https://www.vinted.it/checkout/billing,annotator1,Sneaking a mandatory buyer protection fee into the final invoice without disclosing it on the main listing page.,,
it_0049,"Per disattivare il rinnovo automatico, accedi all'area clienti, vai su 'Il mio account', poi 'Abbonamenti', seleziona il servizio, clicca 'Gestisci', scorri in fondo e seleziona 'Non rinnovare'.",Obstruction,it,tim.it,https://www.tim.it/assistenza/disattivazione,annotator1,Multi-step menu path required to disable auto-renewal — classic roach motel friction where signup is one click but exit is six,,
it_0050,"La cancellazione dell'account è definitiva e comporta la perdita di tutti i dati, ordini, recensioni e punti fedeltà accumulati. Sei sicuro di voler procedere?",Obstruction,it,amazon.it,https://www.amazon.it/gp/help/customer/display.html,annotator1,Confirm-shaming style warning listing exaggerated consequences to discourage account deletion,,
it_0051,Per disdire l'abbonamento è necessario contattare il servizio clienti via telefono. Non è possibile cancellare online.,Obstruction,it,fastweb.it,https://www.fastweb.it/assistenza,annotator1,"Online cancellation deliberately unavailable, forcing the user into a phone channel with longer hold times",,
it_0052,"Per richiedere il rimborso, scarica il modulo PDF, compilalo, firmalo, scansionalo e invialo tramite PEC entro 14 giorni dall'acquisto.",Obstruction,it,trenitalia.com,https://www.trenitalia.com/it/rimborsi.html,annotator1,"Refund process requires PDF download, manual signature, scan, and certified email — friction added at every step to deter claims",,
it_0053,Le impostazioni sulla privacy possono essere modificate dal tuo profilo utente.,Not Dark Pattern,it,facebook.com,https://www.facebook.com/settings,annotator1,Privacy controls intentionally buried in profile settings without a direct link from the consent banner,Obstruction,Neutral pointer to privacy settings; no obstruction present in the text itself
it_0054,"Il tuo abbonamento Premium verrà rinnovato automaticamente. Per disattivare il rinnovo, contatta il nostro servizio clienti almeno 7 giorni prima della scadenza.",Obstruction,it,linkedin.com,https://www.linkedin.com/premium,annotator1,Auto-renewal cancellation requires customer service contact with a 7-day advance notice window — process designed to be missed,,
it_0055,"Per continuare la lettura dell'articolo, accedi o registrati gratuitamente.",Forced Action,it,corriere.it,https://www.corriere.it/cronache,annotator1,Registration wall forces account creation to access the remaining article content,,
it_0056,"Per scaricare il preventivo, inserisci nome, cognome, email, numero di telefono e accetta di essere contattato dai nostri partner commerciali.",Forced Action,it,facile.it,https://www.facile.it/preventivo,annotator1,Mandatory third-party marketing consent bundled with quote download — no opt-out path to receive the document,,
it_0057,Devi accettare i cookie di profilazione per accedere a tutte le funzionalità del sito.,Forced Action,it,repubblica.it,https://www.repubblica.it,annotator1,Profiling cookie acceptance presented as prerequisite to full site access — coerces consent against GDPR principles,,
it_0058,Per pubblicare un annuncio gratuito devi verificare il tuo numero di telefono. Non possiamo procedere senza questa verifica.,Forced Action,it,subito.it,https://www.subito.it/vendi,annotator1,Phone verification made mandatory for an otherwise free listing — extracts personal data as a precondition to service use,,
it_0059,Iscriviti alla newsletter per applicare il codice sconto al tuo carrello.,Forced Action,it,yoox.com,https://www.yoox.com/it/promo,annotator1,Discount code redemption gated behind newsletter subscription — forces marketing opt-in to access advertised price,,
it_0060,Rimasti solo 3 posti a questo prezzo!,Scarcity,it,booking.com,https://www.booking.com/hotel/it/example.html,annotator1,Limited-availability claim tied to a specific price tier to push immediate booking,,
it_0061,Ultimi 5 pezzi disponibili in magazzino,Scarcity,it,mediaworld.it,https://www.mediaworld.it/product,annotator1,Low-stock counter displayed near the buy button to create exhaustion-driven urgency,,
it_0062,Edizione limitata. Quantità disponibili in esaurimento.,Scarcity,it,feltrinelli.it,https://www.lafeltrinelli.it/libri,annotator1,Vague limited-edition framing with unverifiable depletion claim,,
it_0063,Disponibilità limitata: solo 1 camera rimasta per le tue date.,Scarcity,it,trivago.it,https://www.trivago.it/hotel,annotator1,Last-room claim presented per-user without verification that supply is truly low across all OTAs,,
it_0064,Prodotto in esclusiva. Non sarà più riassortito.,Scarcity,it,zara.com,https://www.zara.com/it,annotator1,Permanent unavailability framing to push immediate conversion — common in fast-fashion artificial scarcity strategy,,
it_0065,"Costo di servizio: € 2,50 (applicato in fase di checkout)",Sneaking,it,ticketone.it,https://www.ticketone.it,annotator1,"Service fee added only at checkout, not visible on the event listing — classic drip pricing",,
it_0066,"✓ Aggiungi l'assicurazione viaggio Plus (€ 12,90) — consigliato per la tua tranquillità",Sneaking,it,ryanair.com,https://www.ryanair.com/it/it/booking,annotator1,Pre-checked travel insurance add-on the user must actively deselect — opt-out rather than opt-in pricing,,
it_0067,"Spese di spedizione e gestione: € 4,99. Eventuali costi doganali a carico del destinatario.",Sneaking,it,shein.com,https://www.shein.com/it,annotator1,Customs fees disclosed in fine print at the end of checkout — buyer remains exposed to unspecified additional charges,,
it_0068,"Il prezzo non include il contributo ambientale RAEE di € 4,00 che verrà aggiunto al totale.",Sneaking,it,unieuro.it,https://www.unieuro.it,annotator1,Environmental contribution fee added on top of displayed price — partitioned pricing that breaks the headline figure,,
it_0069,"Hai aggiunto Amazon Music Unlimited (3 mesi gratis, poi € 9,99/mese). Procedi al checkout.",Sneaking,it,amazon.it,https://www.amazon.it/cart,annotator1,Auto-added paid subscription trial bundled into cart — converts to paid plan unless the user notices and removes it,,
it_0070,Marco da Milano ha appena prenotato questa struttura.,Social Proof,it,booking.com,https://www.booking.com/hotel/it/example.html,annotator1,Real-time anonymous-buyer notification with name and city to manufacture peer-pressure conformity,,
it_0071,Il più venduto nella categoria Cuffie Bluetooth,Social Proof,it,amazon.it,https://www.amazon.it/dp/B0example,annotator1,Bestseller badge based on opaque ranking criteria used as popularity proof near the product title,,
it_0072,Affrettati! L'offerta scade tra 00:08:42,Urgency,it,groupon.it,https://www.groupon.it/deal/example,annotator1,Sub-ten-minute countdown timer pushing instant conversion before deliberation,,
it_0073,Black Friday: ultime ore per approfittare degli sconti fino al 70%,Urgency,it,euronics.it,https://www.euronics.it,annotator1,Final-hours framing on a multi-day promotional event to compress decision time,,
it_0074,"Risparmi € 120,00 rispetto al prezzo consigliato",Misdirection,it,mediaworld.it,https://www.mediaworld.it/product,annotator1,Savings figure calculated against a manufacturer suggested price rarely charged in the Italian market,,
it_0075,Spedizione standard: consegna prevista entro 3-5 giorni lavorativi.,Not Dark Pattern,it,amazon.it,https://www.amazon.it/checkout,annotator1,Neutral delivery time disclosure with clear business-day range — no manipulative framing,,
it_0076,"Recensioni verificate dei clienti: 4,3 su 5 (su 1.247 recensioni)",Not Dark Pattern,it,trustpilot.com,https://www.trustpilot.com/review/example,annotator1,Aggregate verified review score with sample size disclosure — informational rather than manipulative,,
it_0077,"Politica di reso: 30 giorni per restituire il prodotto, spese di reso a carico del cliente.",Not Dark Pattern,it,decathlon.it,https://www.decathlon.it/resi,annotator1,Clear return policy stating timeframe and cost responsibility upfront — transparent terms disclosure,,
